id,LATITUDE,LONGITUDE,Y,X
12458,37.59201826342063,-122.06481712018378,4160961.217921956,582560.2876959202
12458,37.59289957056558,-122.06604863932728,4161057.915405597,582450.5912071151
12458,37.594134833176355,-122.06672841334165,4161194.3689659163,582389.2164049206
12458,37.59537009167148,-122.06740820990892,4161330.822498667,582327.8415654576
12458,37.59660534605015,-122.0680880290301,4161467.276003819,582266.4666888056
12469,37.597607301895145,-122.07758179619694,4161570.166171107,581427.2738815168
12469,37.59788531949324,-122.0768000838867,4161601.6898883935,581495.9785008023
12469,37.596917487484994,-122.0768764624567,4161494.244388375,581490.2915986084
12481,37.58346115364029,-122.07012946976654,4160007.1661320636,582100.6888439603
12481,37.58451711996274,-122.07019860388793,4160124.263060018,582093.4249594185
12481,37.58472191744107,-122.06909138284527,4160147.953230149,582190.9600383393
12481,37.58378555417249,-122.06859739487467,4160044.4979585414,582235.6059183828
12481,37.5825774992286,-122.0690602102981,4159910.0615862403,582196.0703320303
12481,37.583070573086665,-122.07026865464293,4159963.710358296,582088.8284855679
12493,37.60251600181562,-122.02083707225833,4162165.501361508,586430.9069194769
12505,37.584646586368905,-122.07733942380631,4160132.4099399946,581462.7970523085
12505,37.583889651504236,-122.07594316155455,4160049.6414468307,581586.9036361517
12505,37.58473294052148,-122.07491445292136,4160144.096685184,581676.8110544668
12505,37.58409907529944,-122.07481181755448,4160073.8598782625,581686.5657406533
12505,37.58299671111024,-122.07577898481892,4159950.7141604912,581602.3742393707
12505,37.58284595533656,-122.0769527524744,4159932.9690596513,581498.9006492663
12505,37.58407414670855,-122.07724684384432,4160068.97923042,581471.5951497909
12517,37.58845256243911,-122.0830820460951,4160549.7101250007,580951.6406688167
12517,37.58805221800616,-122.08224465161683,4160506.014818665,581026.0071019685
12517,37.58761475123723,-122.08317066908278,4160456.680289171,580944.7236363936
12517,37.58894053249547,-122.08278526055614,4160604.1052685203,580977.3147432967
12517,37.59117343677887,-122.08399419213522,4160850.799873735,580868.1643069885
12517,37.589939623166515,-122.0833618141053,4160714.4554230864,580925.3301068208
12517,37.58974213409618,-122.08350156849149,4160692.423991838,580913.2054468667
12517,37.59096735295411,-122.08415980635455,4160827.792685901,580853.7659568341
12517,37.59319845836255,-122.0853883930362,4161074.272411378,580742.8886736016
12517,37.59178772235485,-122.08449030750307,4160918.5265607475,580823.7001809806
12517,37.59302543109039,-122.08543735721597,4161055.0332755586,580738.7529196555
12528,37.5952986206402,-122.06303470053699,4161326.7362419246,582714.0165710872
12528,37.595825588569355,-122.06158071899395,4161386.4841349088,582841.7907743857
