geoid,LATITUDE,LONGITUDE,Y,X
060014099004,37.75296699999976,-122.12194999999998,4178769.6626049494,577349.090051549
060014100001,37.735245999999755,-122.135024,4176792.782927654,576215.5253424251
060014100002,37.74726199999976,-122.13577399999998,4178125.3523910567,576137.1297377291
060014100003,37.750479999999776,-122.14333399999998,4178476.2673349907,575467.8230827119
060014101001,37.75049399999973,-122.15634899999999,4178467.404132823,574321.2340879701
060014101002,37.74519699999975,-122.15185699999999,4177883.2770495666,574722.2893030825
060014102001,37.74931299999976,-122.160495,4178333.087011867,573957.1620568905
060014102002,37.74372599999978,-122.155996,4177716.7726071305,574359.1041528487
060014102003,37.74094399999975,-122.153256,4177410.2894051922,574603.3026285366
060014103001,37.748664999999754,-122.164476,4178258.0524548185,573607.0868609656
060014103002,37.746689999999774,-122.16545899999998,4178038.1529070516,573522.4400872913
060014103003,37.745484999999746,-122.168793,4177901.8438690365,573229.8993544914
060014104001,37.74307499999975,-122.160423,4177641.035960571,573969.7139481106
060014104002,37.73987199999975,-122.15901599999998,4177286.775330303,574096.87093019
060014104003,37.740757999999765,-122.164774,4177380.5345642343,573588.6625074381
060014105001,37.80709899999975,-122.28982299999998,4184650.111045522,562515.0162336623
060014201001,37.89544399999974,-122.29328799999999,4194449.798035561,562135.806388685
060014201002,37.89535899999975,-122.28852999999998,4194443.547314046,562554.2183587372
060014201003,37.89235299999976,-122.28996099999999,4194109.066331272,562430.938400555
060014202001,37.89741999999974,-122.298091,4194665.850903523,561711.8600769562
060014202002,37.89307699999978,-122.29573,4194185.550347276,561923.0800672895
060014202003,37.892879999999764,-122.29836,4194161.9501546244,561691.998325598
060014203001,37.89110799999976,-122.300997,4193963.6023462433,561461.6093345587
060014203002,37.89491799999975,-122.30488899999999,4194383.772640522,561116.2411620782
060014203003,37.88883099999977,-122.30484199999998,4193708.4382449775,561125.4064197633
060014204001,37.884852999999765,-122.303068,4193268.2351240246,561284.6936566706
060014205001,37.88874499999976,-122.295958,4193704.754543772,561906.660338389
060014205002,37.88510299999977,-122.29463599999998,4193301.5453525577,562025.9608561348
060014206001,37.886021999999755,-122.285195,4193409.8288611406,562855.3816308107
060014206002,37.88714799999977,-122.287342,4193533.316573733,562665.6314352825
060014206003,37.88787499999975,-122.29068699999999,4193611.7371374154,562370.8809960006
060014211001,37.90074699999977,-122.26449499999998,4195057.749977462,564662.749735987
060014211002,37.89826499999975,-122.26733499999999,4194780.400804362,564415.2278293271
060014212001,37.901893999999764,-122.272371,4195179.5810035635,563969.3201830836
060014212002,37.89313699999977,-122.272777,4194207.6928159394,563941.2017315861
060014212003,37.89704299999977,-122.277858,4194637.601701887,563491.0929170168
060014212004,37.90043199999978,-122.27682499999999,4195014.322905259,563579.0005203183
060014213001,37.895760999999766,-122.281994,4194492.553537835,563128.5438868887
060014213002,37.89330799999976,-122.28458399999998,4194218.6379679614,562902.910309685
060014213003,37.88558899999977,-122.278905,4193366.042973364,563408.8625570463
