id,LATITUDE,LONGITUDE,Y,X
st2068,37.766477020943505,-122.18320071404659,4180219.7394237733,571940.216542693
st2092,37.787124937272104,-122.2255712904655,4182478.8946397556,568189.367348469
st2092,37.7863890909267,-122.22424943884144,4182398.2168669915,568306.4370843953
st2092,37.78588604408752,-122.22275879517059,4182343.4935112232,568438.1572943989
st2094,37.79521424669834,-122.22225638366534,4183378.831889217,568473.7872871091
st2024,37.7835919360111,-122.21979396523534,4182091.135012178,568701.3462645471
st2024,37.78493958502997,-122.21876184295412,4182241.4162802906,568790.9824021561
st2024,37.786315499867385,-122.2177990160836,4182394.7836694876,568874.4872627498
st2076,37.77678470638327,-122.19807643132846,4181352.046382115,570620.1996892801
st2076,37.77593589330689,-122.19711489321188,4181258.5965652457,570705.6859729799
st2076,37.782077392176255,-122.2036149599703,4181935.1053539654,570127.4488354253
st2076,37.78114903630345,-122.20258185905298,4181832.878913821,570219.3006201431
st2076,37.78022517751036,-122.20154244553201,4181731.1571819196,570311.7063015184
st2076,37.77929892729628,-122.20050639253766,4181629.168610686,570403.8205831017
st2076,37.778368537080006,-122.19947702387769,4181526.7166787293,570495.3524183242
st2076,37.787439734789835,-122.20975928038102,4182525.4708228097,569581.360422994
st2076,37.786344701776144,-122.2085227563078,4182404.8970404174,569691.2675628425
st2076,37.78525248998825,-122.20728229443307,4182284.640658612,569801.5219881404
st2076,37.78415860113463,-122.20604419846418,4182164.1978894337,569911.5728592732
st2076,37.78306697233038,-122.20480296962029,4182044.0096677938,570021.9006682187
st2126,37.78752981158848,-122.21478059381579,4182531.740028329,569139.1386310117
st2126,37.788387540780974,-122.2133153999777,4182627.9901327165,569267.3513636646
st2126,37.789245534937585,-122.21185043724023,4182724.271516011,569395.5405128074
st2126,37.79010403126595,-122.21038592426349,4182820.610333089,569523.6866025822
st2126,37.79096125247008,-122.20892020774697,4182916.810621469,569651.9368700399
st2126,37.791634591433876,-122.2074749045819,4182992.5958440853,569778.5597578662
st2101,37.80228171160673,-122.23460191453809,4184154.0017005973,567380.4302145886
st2032,37.831216833092874,-122.2552628929837,4187349.688386654,565535.965400876
st2032,37.83113262959064,-122.25701594618094,4187339.117417289,565381.7709811233
st2032,37.83106887762373,-122.2587701971355,4187330.817631696,565227.4528172051
st2032,37.83099800305455,-122.26052424693965,4187321.730626043,565073.1583600348
st2032,37.83091552169638,-122.26227750328822,4187311.359285401,564918.9436173531
st2032,37.83086968843691,-122.26403176686665,4187305.0562941004,564764.6078733808
st2032,37.83112953517006,-122.26575725885579,4187332.691655213,564612.5372804225
st2032,37.83140498769054,-122.26747892446244,4187362.063938024,564460.7909086868
st2032,37.83167668643092,-122.26920150660455,4187391.021891974,564308.9682805743
st2032,37.83195047223614,-122.27092355995585,4187420.2145627774,564157.1915032712
st2032,37.83222674069176,-122.2726448777034,4187449.685980226,564005.4784465119
st2032,37.832500900160156,-122.2743668787823,4187478.925723315,563853.7082182657
st2032,37.8327738101678,-122.27608921215901,4187508.0294002495,563701.9109574831
st760,37.807069328805326,-122.20970600258633,4184703.4315863447,569567.6395347405
st760,37.80683808617275,-122.20810561366909,4184678.9674360394,569708.7374774643
st703,37.805643559817014,-122.20716135629937,4184547.138152548,569792.9840036219
st703,37.80488821632143,-122.20597982144209,4184464.214947017,569897.707256416
st704,37.803853060612425,-122.20606834334134,4184349.2971302606,569890.8901161499
st705,37.802710415752095,-122.20586159906355,4184222.6741143176,569910.1675274184
